NC_007797.1	1	1379	+	chromosomal replication initiator protein DnaA	WP_011450597.1	202	FF8AD8	DnaA
NC_007797.1	471786	472265	-	hypothetical protein	WP_020849002.1	-1	f3f3f3	-1
NC_007797.1	472318	472836	-	demethoxyubiquinone hydroxylase family protein	WP_020849003.1	692	f3f3f3	-1
NC_007797.1	473250	473441	-	hypothetical protein	WP_020849005.1	-1	f3f3f3	-1
NC_007797.1	474120	475901	+	hypothetical protein	WP_011451001.1	973	f3f3f3	-1
NC_007797.1	476822	477137	-	hypothetical protein	WP_020849006.1	-1	f3f3f3	-1
NC_007797.1	477138	477851	+	hypothetical protein	WP_020849007.1	-1	f3f3f3	-1
NC_007797.1	478597	479406	+	hypothetical protein	WP_011451003.1	-1	f3f3f3	-1
NC_007797.1	479541	480065	-	hypothetical protein	WP_011451004.1	964	f3f3f3	-1
NC_007797.1	480644	481015	-	hypothetical protein	WP_020849009.1	-1	f3f3f3	-1
NC_007797.1	481034	481264	-	hypothetical protein	WP_020849010.1	-1	f3f3f3	-1
NC_007797.1	481824	482960	+	hypothetical protein	WP_011451006.1	960	f3f3f3	-1
NC_007797.1	485357	486718	-	hypothetical protein	WP_011451008.1	960	f3f3f3	-1
NC_007797.1	486937	487410	-	disulfide bond formation protein B	WP_011451009.1	707	f3f3f3	-1
NC_007797.1	487554	488282	-	hypothetical protein	WP_011451010.1	1010	f3f3f3	-1
NC_007797.1	488424	488594	+	50S ribosomal protein L33	WP_011451011.1	191	f3f3f3	-1
NC_007797.1	489980	490244	-	hypothetical protein	WP_011451013.1	-1	f3f3f3	-1
NC_007797.1	490245	492917	-	ankyrin repeat domain-containing protein	WP_020849014.1	-1	f3f3f3	-1
NC_007797.1	493730	494044	+	acyl carrier protein	WP_020849015.1	380	f3f3f3	-1
NC_007797.1	494174	495445	+	beta-ketoacyl-ACP synthase II	WP_011451016.1	256	f3f3f3	-1
NC_007797.1	496183	497217	+	DNA-protecting protein DprA	WP_011451019.1	388	f3f3f3	-1
NC_007797.1	497552	497839	+	hypothetical protein	WP_020849017.1	-1	f3f3f3	-1
NC_007797.1	498386	498709	+	hypothetical protein	WP_020849018.1	0	f3f3f3	-1
NC_007797.1	498807	499034	+	hypothetical protein	WP_020849019.1	0	f3f3f3	-1
NC_007797.1	499132	499443	+	hypothetical protein	WP_020849020.1	0	f3f3f3	-1
NC_007797.1	499910	500257	+	P44/Msp2 family outer membrane protein	WP_011451021.1	0	f3f3f3	-1
NC_007797.1	500430	502334	-	DNA mismatch repair endonuclease MutL	WP_011451022.1	300	f3f3f3	-1
NC_007797.1	502611	503315	+	TolQ protein	WP_011451023.1	498	f3f3f3	-1
NC_007797.1	503614	504441	+	cell envelope integrity protein TolA	WP_011451024.1	770	f3f3f3	-1
NC_007797.1	505371	505607	-	hypothetical protein	WP_020849022.1	-1	f3f3f3	-1
NC_007797.1	505761	507173	-	two-component sensor histidine kinase	WP_011451027.1	51	f3f3f3	-1
NC_007797.1	507344	508504	+	aspartate aminotransferase family protein	WP_044104121.1	97	f3f3f3	-1
NC_007797.1	510387	511538	+	hypothetical protein	WP_011451032.1	-1	f3f3f3	-1
NC_007797.1	513070	513276	+	hypothetical protein	WP_020849024.1	0	f3f3f3	-1
NC_007797.1	513731	513913	-	hypothetical protein	WP_020849025.1	-1	f3f3f3	-1
NC_007797.1	514649	517357	-	DNA translocase FtsK	WP_020849026.1	568	f3f3f3	-1
NC_007797.1	517375	517656	-	YggT family protein	WP_080502905.1	-1	f3f3f3	-1
NC_007797.1	517826	519094	+	DUF21 domain-containing protein	WP_011451038.1	26	f3f3f3	-1
NC_007797.1	520523	521551	-	thiamine phosphate synthase	WP_020849027.1	686	f3f3f3	-1
NC_007797.1	521752	522594	-	kinase/pyrophosphorylase	WP_011451042.1	592	f3f3f3	-1
NC_007797.1	522742	523569	-	rhodanese-related sulfurtransferase	WP_044104284.1	485	f3f3f3	-1
NC_007797.1	523614	523805	-	hypothetical protein	WP_011451044.1	-1	f3f3f3	-1
NC_007797.1	523985	524482	-	hypothetical protein	WP_011451045.1	-1	f3f3f3	-1
NC_007797.1	524542	525447	-	methionyl-tRNA formyltransferase	WP_011451046.1	227	f3f3f3	-1
NC_007797.1	525971	528365	-	endopeptidase La	WP_011451048.1	125	f3f3f3	-1
NC_007797.1	528366	529613	-	ATP-dependent Clp protease ATP-binding subunit ClpX	WP_011451049.1	196	f3f3f3	-1
NC_007797.1	529625	530218	-	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	WP_011451050.1	325	f3f3f3	-1
NC_007797.1	530274	531593	-	trigger factor	WP_011451051.1	266	f3f3f3	-1
NC_007797.1	532468	532968	+	phosphatidylglycerophosphatase A	WP_011451052.1	398	f3f3f3	-1
NC_007797.1	533003	533776	+	GNAT family N-acetyltransferase	WP_011451053.1	681	f3f3f3	-1
NC_007797.1	533829	535001	+	hypothetical protein	WP_011451054.1	-1	f3f3f3	-1
NC_007797.1	535065	535262	-	Fe-S cluster assembly protein IscX	WP_011451055.1	717	f3f3f3	-1
NC_007797.1	535791	536669	+	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	WP_080502906.1	105	FF9300	BioF
NC_007797.1	537006	537563	-	P44/Msp2 family outer membrane protein	WP_020849031.1	0	f3f3f3	-1
NC_007797.1	537661	538278	-	hypothetical protein	WP_020849032.1	0	f3f3f3	-1
NC_007797.1	539129	539971	-	zinc ABC transporter solute-binding protein	WP_011451058.1	581	f3f3f3	-1
NC_007797.1	539972	540695	+	metal ABC transporter ATP-binding protein	WP_044104290.1	565	f3f3f3	-1
NC_007797.1	540696	542147	+	2-polyprenylphenol 6-hydroxylase	WP_011451060.1	484	f3f3f3	-1
NC_007797.1	542318	542854	-	lipoprotein	WP_011451061.1	1005	f3f3f3	-1
NC_007797.1	543424	544452	+	ABC transporter ATP-binding protein	WP_011451062.1	277	f3f3f3	-1
NC_007797.1	544471	544641	+	twin-arginine translocase TatA/TatE family subunit	WP_011451063.1	128	f3f3f3	-1
NC_007797.1	544717	545301	+	recombination protein RecR	WP_011451064.1	161	f3f3f3	-1
NC_007797.1	546482	547096	+	30S ribosomal protein S4	WP_011451065.1	289	f3f3f3	-1
NC_007797.1	549482	550271	-	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	WP_011451068.1	491	f3f3f3	-1
NC_007797.1	550272	550934	-	chromosomal DNA replication initiator	WP_011451069.1	765	f3f3f3	-1
NC_007797.1	550939	552114	-	AI-2E family transporter	WP_080502907.1	559	f3f3f3	-1
NC_007797.1	552895	553149	-	hypothetical protein	WP_011451071.1	-1	f3f3f3	-1
NC_007797.1	553231	554598	-	hypothetical protein	WP_011451072.1	-1	f3f3f3	-1
NC_007797.1	554796	555125	-	succinate dehydrogenase, hydrophobic membrane anchor protein	WP_011451073.1	724	f3f3f3	-1
NC_007797.1	555129	555515	-	succinate dehydrogenase, cytochrome b556 subunit	WP_044104123.1	537	f3f3f3	-1
NC_007797.1	557348	558727	-	hypothetical protein	WP_020849037.1	-1	f3f3f3	-1
NC_007797.1	558922	562296	-	DNA polymerase III subunit alpha	WP_044104295.1	280	f3f3f3	-1
NC_007797.1	562512	562862	+	BolA family transcriptional regulator	WP_020849038.1	68	f3f3f3	-1
NC_007797.1	562968	563192	-	hypothetical protein	WP_020849039.1	-1	f3f3f3	-1
NC_007797.1	564325	564945	-	pyridoxamine 5'-phosphate oxidase	WP_011451082.1	774	f3f3f3	-1
NC_007797.1	566700	567362	-	esterase	WP_011451084.1	458	f3f3f3	-1
NC_007797.1	568505	569098	-	peptide deformylase	WP_011451086.1	-1	f3f3f3	-1
NC_007797.1	569353	570405	+	quinone-dependent dihydroorotate dehydrogenase	WP_011451087.1	241	f3f3f3	-1
NC_007797.1	570414	571205	+	type III pantothenate kinase	WP_011451088.1	1015	f3f3f3	-1
NC_007797.1	571472	572038	-	Na+/H+ antiporter subunit E	WP_020849043.1	715	f3f3f3	-1
NC_007797.1	572430	573566	+	8-amino-7-oxononanoate synthase	WP_011451090.1	105	FF9300	BioF
NC_007797.1	573642	574934	-	P44/Msp2 family outer membrane protein	WP_020849044.1	0	f3f3f3	-1
NC_007797.1	575223	575417	-	hypothetical protein	WP_020849045.1	-1	f3f3f3	-1
NC_007797.1	576164	576916	-	P44/Msp2 family outer membrane protein	WP_020849046.1	0	f3f3f3	-1
NC_007797.1	577848	578291	+	hypothetical protein	WP_011451093.1	758	f3f3f3	-1
NC_007797.1	579715	580347	+	ribonuclease HII	WP_011451094.1	273	f3f3f3	-1
NC_007797.1	580889	585118	-	DNA-directed RNA polymerase subunit beta'	WP_011451095.1	36	f3f3f3	-1
NC_007797.1	585131	589282	-	DNA-directed RNA polymerase subunit beta	WP_011451096.1	36	f3f3f3	-1
NC_007797.1	589322	589726	-	50S ribosomal protein L7/L12	WP_011451097.1	294	f3f3f3	-1
NC_007797.1	589891	590373	-	50S ribosomal protein L10	WP_011451098.1	232	f3f3f3	-1
NC_007797.1	590405	591055	-	50S ribosomal protein L1	WP_011451099.1	362	f3f3f3	-1
NC_007797.1	591070	591516	-	50S ribosomal protein L11	WP_011451100.1	201	f3f3f3	-1
NC_007797.1	591521	592066	-	transcription termination/antitermination factor NusG	WP_044104302.1	409	f3f3f3	-1
NC_007797.1	592071	592271	-	preprotein translocase subunit SecE	WP_011451102.1	1003	f3f3f3	-1
NC_007797.1	592390	593571	-	elongation factor Tu	WP_011450413.1	102	f3f3f3	-1
NC_007797.1	593580	595652	-	elongation factor G	WP_011451103.1	269	f3f3f3	-1
NC_007797.1	595688	596170	-	30S ribosomal protein S7	WP_011451104.1	399	f3f3f3	-1
NC_007797.1	596188	596562	-	30S ribosomal protein S12	WP_011451105.1	187	f3f3f3	-1
NC_007797.1	597661	599281	+	ribonuclease J	WP_011451106.1	547	f3f3f3	-1
NC_007797.1	599282	600589	+	Tol-Pal system protein TolB	WP_011451107.1	250	f3f3f3	-1
NC_007797.1	601166	601351	-	hypothetical protein	WP_011451108.1	980	f3f3f3	-1
NC_007797.1	602094	602333	+	hypothetical protein	WP_020849051.1	-1	f3f3f3	-1
NC_007797.1	603624	604328	+	COQ9 family protein	WP_011451111.1	975	f3f3f3	-1
NC_007797.1	604413	605954	+	HlyD family type I secretion periplasmic adaptor subunit	WP_020849414.1	696	f3f3f3	-1
NC_007797.1	607563	609194	-	iron ABC transporter permease	WP_044104307.1	961	f3f3f3	-1
NC_007797.1	610319	611335	+	2-nitropropane dioxygenase	WP_011451117.1	761	f3f3f3	-1
NC_007797.1	611499	612128	+	SCO family protein	WP_011451118.1	738	f3f3f3	-1
NC_007797.1	612173	613198	+	phosphate ABC transporter substrate-binding protein	WP_020849053.1	1022	f3f3f3	-1
NC_007797.1	613310	613585	+	30S ribosomal protein S21	WP_011451120.1	1029	f3f3f3	-1
NC_007797.1	613678	614844	+	ADP-forming succinate--CoA ligase subunit beta	WP_011451121.1	448	f3f3f3	-1
NC_007797.1	614853	615740	+	succinate--CoA ligase subunit alpha	WP_011451122.1	524	f3f3f3	-1
NC_007797.1	617281	618090	+	cell cycle protein MesJ	WP_011451125.1	108	f3f3f3	-1
NC_007797.1	618387	618570	+	hypothetical protein	WP_020849059.1	-1	f3f3f3	-1
NC_007797.1	618571	621201	-	alanine--tRNA ligase	WP_011451127.1	346	f3f3f3	-1
NC_007797.1	621284	622405	+	phosphate ABC transporter permease subunit PstC	WP_020849060.1	531	f3f3f3	-1
NC_007797.1	622405	623217	+	glutamine synthetase	WP_011451129.1	465	f3f3f3	-1
NC_007797.1	623229	624020	-	MBL fold metallo-hydrolase	WP_011451130.1	748	f3f3f3	-1
NC_007797.1	624741	625235	+	hypothetical protein	WP_020849062.1	0	f3f3f3	-1
NC_007797.1	627196	627701	-	hypothetical protein	WP_020849064.1	1011	f3f3f3	-1
NC_007797.1	627702	628316	-	hypothetical protein	WP_020849065.1	-1	f3f3f3	-1
NC_007797.1	628318	629766	-	hypothetical protein	WP_020849066.1	970	f3f3f3	-1
NC_007797.1	629845	632286	-	hypothetical protein	WP_020849067.1	-1	f3f3f3	-1
NC_007797.1	632492	633907	+	dihydrolipoyl dehydrogenase	WP_011450224.1	37	f3f3f3	-1
NC_007797.1	633990	635321	-	transcription termination factor Rho	WP_011451135.1	112	f3f3f3	-1
NC_007797.1	636238	636807	+	ATP-dependent protease subunit HslV	WP_011451137.1	384	f3f3f3	-1
NC_007797.1	636812	638287	+	ATP-dependent protease ATPase subunit HslU	WP_020849069.1	395	f3f3f3	-1
NC_007797.1	638293	638988	+	class I SAM-dependent methyltransferase	WP_011451139.1	168	f3f3f3	-1
NC_007797.1	639199	639465	-	P44/Msp2 family outer membrane protein	WP_080502908.1	0	f3f3f3	-1
NC_007797.1	639665	640477	-	P44/Msp2 family outer membrane protein	WP_020849070.1	0	f3f3f3	-1
NC_007797.1	641181	641366	+	hypothetical protein	WP_020849421.1	-1	f3f3f3	-1
NC_007797.1	641916	643457	+	methionine--tRNA ligase	WP_011451141.1	295	f3f3f3	-1
NC_007797.1	645320	646135	+	P44/Msp2 family outer membrane protein	WP_080502909.1	0	f3f3f3	-1
NC_007797.1	646314	646742	+	hypothetical protein	WP_020849075.1	0	f3f3f3	-1
NC_007797.1	647296	648084	+	cytochrome c oxidase subunit II	WP_011451143.1	497	f3f3f3	-1
NC_007797.1	648147	649703	+	cytochrome c oxidase subunit I	WP_011451144.1	575	f3f3f3	-1
NC_007797.1	649725	650606	+	protoheme IX farnesyltransferase	WP_044104124.1	494	f3f3f3	-1
NC_007797.1	650646	651347	-	outer membrane protein assembly factor BamD	WP_011451146.1	106	f3f3f3	-1
NC_007797.1	651521	652777	+	phosphoribosylamine--glycine ligase	WP_011451147.1	560	f3f3f3	-1
NC_007797.1	653017	653391	+	preprotein translocase subunit YajC	WP_011451149.1	270	f3f3f3	-1
NC_007797.1	654563	655372	+	cell cycle protein MesJ	WP_011451125.1	108	f3f3f3	-1
NC_007797.1	655853	656167	-	hypothetical protein	WP_020849076.1	-1	f3f3f3	-1
NC_007797.1	656405	657532	-	DNA polymerase III subunit beta	WP_011451152.1	400	f3f3f3	-1
NC_007797.1	657646	658260	-	ribonuclease D	WP_011451153.1	672	f3f3f3	-1
NC_007797.1	658328	659158	-	response regulator transcription factor	WP_011451154.1	74	f3f3f3	-1
NC_007797.1	659462	660100	-	LexA family transcriptional regulator	WP_011451155.1	-1	f3f3f3	-1
NC_007797.1	660693	661229	-	inorganic diphosphatase	WP_011451156.1	570	f3f3f3	-1
NC_007797.1	661407	661745	+	hypothetical protein	WP_020849078.1	-1	f3f3f3	-1
NC_007797.1	662214	662570	-	hypothetical protein	WP_011451158.1	970	f3f3f3	-1
NC_007797.1	663743	663931	-	hypothetical protein	WP_020849079.1	-1	f3f3f3	-1
NC_007797.1	664153	664588	-	30S ribosomal protein S9	WP_044104125.1	360	f3f3f3	-1
NC_007797.1	664589	665065	-	50S ribosomal protein L13	WP_011451163.1	320	f3f3f3	-1
NC_007797.1	665310	666530	+	outer membrane efflux protein	WP_021799100.1	528	f3f3f3	-1
NC_007797.1	668260	669288	-	Mrp/NBP35 family ATP-binding protein	WP_011451166.1	263	f3f3f3	-1
NC_007797.1	669404	670368	+	ribose-phosphate diphosphokinase	WP_011451167.1	587	f3f3f3	-1
NC_007797.1	670369	670689	+	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	WP_011451168.1	680	f3f3f3	-1
NC_007797.1	671109	671321	-	hypothetical protein	WP_020849081.1	-1	f3f3f3	-1
NC_007797.1	671914	672981	+	P44/Msp2 family outer membrane protein	WP_011451169.1	0	f3f3f3	-1
NC_007797.1	673169	673375	+	P44/Msp2 family outer membrane protein	WP_020849083.1	0	f3f3f3	-1
NC_007797.1	675174	677795	-	aconitate hydratase AcnA	WP_011451171.1	501	f3f3f3	-1
NC_007797.1	679968	681044	-	5-(carboxyamino)imidazole ribonucleotide synthase	WP_011451172.1	772	f3f3f3	-1
NC_007797.1	681177	681584	+	Co2+/Mg2+ efflux protein ApaG	WP_011451173.1	701	f3f3f3	-1
NC_007797.1	681819	682403	+	hypothetical protein	WP_020849086.1	0	f3f3f3	-1
NC_007797.1	684007	684129	+	P44/Msp2 family outer membrane protein	WP_020849089.1	0	f3f3f3	-1
NC_007797.1	684333	684620	+	P44/Msp2 family outer membrane protein	WP_011451175.1	0	f3f3f3	-1
NC_007797.1	684965	685231	+	hypothetical protein	WP_011451176.1	-1	f3f3f3	-1
NC_007797.1	685432	688812	-	hypothetical protein	WP_020849090.1	-1	f3f3f3	-1
NC_007797.1	689143	689511	-	hypothetical protein	WP_020849091.1	0	f3f3f3	-1
NC_007797.1	690038	692371	-	hypothetical protein	WP_011451178.1	1027	f3f3f3	-1
NC_007797.1	692579	692950	-	type IV secretion system protein VirB2-8	WP_011451179.1	25	f3f3f3	-1
NC_007797.1	693290	693649	-	type IV secretion system protein VirB2-7	WP_011451180.1	25	f3f3f3	-1
NC_007797.1	693669	694043	-	type IV secretion system protein VirB2-6	WP_011451181.1	25	f3f3f3	-1
NC_007797.1	694909	695268	-	type IV secretion system protein VirB2-5	WP_011451182.1	25	f3f3f3	-1
NC_007797.1	695453	695731	-	hypothetical protein	WP_020849093.1	991	f3f3f3	-1
NC_007797.1	696128	696490	-	type IV secretion system protein VirB2-4	WP_011451183.1	25	f3f3f3	-1
NC_007797.1	696675	696914	-	hypothetical protein	WP_020849442.1	991	f3f3f3	-1
NC_007797.1	697652	698101	-	type IV secretion system protein VirB2-3	WP_020849094.1	25	f3f3f3	-1
NC_007797.1	698218	698529	-	hypothetical protein	WP_011451186.1	-1	f3f3f3	-1
NC_007797.1	699031	699222	+	hypothetical protein	WP_020849095.1	-1	f3f3f3	-1
NC_007797.1	699808	700003	+	hypothetical protein	WP_020849096.1	-1	f3f3f3	-1
NC_007797.1	700004	700186	-	hypothetical protein	WP_011451189.1	-1	f3f3f3	-1
NC_007797.1	700657	700836	-	hypothetical protein	WP_020849098.1	-1	f3f3f3	-1
NC_007797.1	700866	701237	-	type IV secretion system protein VirB2-2	WP_011451193.1	25	f3f3f3	-1
NC_007797.1	701293	701739	-	hypothetical protein	WP_020849099.1	-1	f3f3f3	-1
NC_007797.1	702404	703506	+	FtsH protease activity modulator HflK	WP_011451195.1	171	f3f3f3	-1
NC_007797.1	703507	704382	+	protease modulator HflC	WP_011451196.1	301	f3f3f3	-1
NC_007797.1	704385	705857	+	Do family serine endopeptidase	WP_011451197.1	110	f3f3f3	-1
NC_007797.1	707151	707861	+	ribonuclease III	WP_011451198.1	578	f3f3f3	-1
NC_007797.1	707903	708454	+	cytochrome c oxidase assembly protein	WP_011451199.1	698	f3f3f3	-1
NC_007797.1	708476	709252	-	hypothetical protein	WP_020849100.1	-1	f3f3f3	-1
NC_007797.1	710301	711167	-	P44/Msp2 family outer membrane protein	WP_080502910.1	0	f3f3f3	-1
NC_007797.1	711469	716892	-	hypothetical protein	WP_011451201.1	-1	f3f3f3	-1
NC_007797.1	717169	717558	-	hypothetical protein	WP_020849102.1	0	f3f3f3	-1
NC_007797.1	717737	718924	-	P44/Msp2 family outer membrane protein	WP_044108165.1	0	f3f3f3	-1
NC_007797.1	719228	719482	-	hypothetical protein	WP_020849104.1	-1	f3f3f3	-1
NC_007797.1	720008	720886	-	hypothetical protein	WP_011451204.1	-1	f3f3f3	-1
NC_007797.1	721032	722423	-	insulinase family protein	WP_011451205.1	721	f3f3f3	-1
NC_007797.1	722425	723966	-	insulinase family protein	WP_011451206.1	677	f3f3f3	-1
NC_007797.1	724002	724472	-	signal peptidase II	WP_011451207.1	292	f3f3f3	-1
NC_007797.1	724566	725522	-	bifunctional riboflavin kinase/FAD synthetase	WP_011451208.1	493	f3f3f3	-1
NC_007797.1	725549	725791	+	glutaredoxin 3	WP_011451209.1	357	f3f3f3	-1
NC_007797.1	727085	728269	-	cell division protein FtsA	WP_011451210.1	104	f3f3f3	-1
NC_007797.1	728395	730152	-	single-stranded-DNA-specific exonuclease RecJ	WP_011451211.1	327	f3f3f3	-1
NC_007797.1	730328	731761	-	isocitrate dehydrogenase	WP_011451212.1	509	f3f3f3	-1
NC_007797.1	732039	732812	-	hypothetical protein	WP_020849106.1	973	f3f3f3	-1
NC_007797.1	733489	733624	+	hypothetical protein	WP_080502911.1	450	f3f3f3	-1
NC_007797.1	733625	734725	-	P44/Msp2 family outer membrane protein	WP_011451214.1	0	f3f3f3	-1
NC_007797.1	734786	735880	-	P44/Msp2 family outer membrane protein	WP_080502912.1	0	f3f3f3	-1
NC_007797.1	736001	737695	-	pentapeptide repeat-containing protein	WP_011451216.1	462	f3f3f3	-1
NC_007797.1	738179	738856	+	SURF1 family protein	WP_011451217.1	746	f3f3f3	-1
NC_007797.1	740492	741106	+	orotate phosphoribosyltransferase	WP_011451219.1	503	f3f3f3	-1
NC_007797.1	741184	741972	+	HesA/MoeB/ThiF family protein	WP_011451220.1	379	f3f3f3	-1
NC_007797.1	742189	742392	+	glutaredoxin	WP_080502913.1	357	f3f3f3	-1
NC_007797.1	743910	744587	+	P44/Msp2 family outer membrane protein	WP_080502914.1	0	f3f3f3	-1
NC_007797.1	744799	744906	+	P44/Msp2 family outer membrane protein	WP_080502940.1	0	f3f3f3	-1
NC_007797.1	744997	747618	-	preprotein translocase subunit SecA	WP_011451223.1	215	f3f3f3	-1
NC_007797.1	747792	749627	-	ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein	WP_011451224.1	342	f3f3f3	-1
NC_007797.1	749640	751019	-	tRNA lysidine(34) synthetase TilS	WP_044108204.1	108	f3f3f3	-1
NC_007797.1	751316	752776	+	TrkH family potassium uptake protein	WP_011451226.1	278	f3f3f3	-1
NC_007797.1	752888	754108	+	cell division protein FtsA	WP_011451227.1	104	f3f3f3	-1
NC_007797.1	754329	754865	-	hypothetical protein	WP_020849113.1	0	f3f3f3	-1
NC_007797.1	754906	755046	-	P44/Msp2 family outer membrane protein	WP_080502915.1	0	f3f3f3	-1
NC_007797.1	755184	755936	-	P44/Msp2 family outer membrane protein	WP_080502916.1	0	f3f3f3	-1
NC_007797.1	757688	758175	-	hypothetical protein	WP_011451230.1	958	f3f3f3	-1
NC_007797.1	758176	758679	-	ATP synthase F0, B' subunit	WP_011451231.1	739	f3f3f3	-1
NC_007797.1	758686	758910	-	F0F1 ATP synthase subunit C	WP_011451232.1	705	f3f3f3	-1
NC_007797.1	759115	759864	-	F0F1 ATP synthase subunit A	WP_080502917.1	412	f3f3f3	-1
NC_007797.1	760091	761344	+	iron-containing alcohol dehydrogenase	WP_011451234.1	1009	f3f3f3	-1
NC_007797.1	762335	763510	-	P44/Msp2 family outer membrane protein	WP_044108207.1	0	f3f3f3	-1
NC_007797.1	763808	764320	+	gamma carbonic anhydrase family protein	WP_011451237.1	467	f3f3f3	-1
NC_007797.1	764413	765633	+	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase	WP_011451238.1	550	f3f3f3	-1
NC_007797.1	765643	766437	+	type I methionyl aminopeptidase	WP_011451239.1	254	f3f3f3	-1
NC_007797.1	766562	767410	+	peptide chain release factor N(5)-glutamine methyltransferase	WP_011451240.1	584	f3f3f3	-1
NC_007797.1	767680	768408	-	P44/Msp2 family outer membrane protein	WP_080502918.1	0	f3f3f3	-1
NC_007797.1	768437	769102	-	hypothetical protein	WP_020849120.1	0	f3f3f3	-1
NC_007797.1	769198	769566	+	cytochrome c-type biogenesis protein, truncation	WP_011451242.1	-1	f3f3f3	-1
NC_007797.1	769950	771260	-	cytochrome c oxidase subunit I	WP_020849121.1	1026	f3f3f3	-1
NC_007797.1	771797	772342	+	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	WP_011451244.1	298	f3f3f3	-1
NC_007797.1	773069	774607	-	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	WP_044108209.1	555	f3f3f3	-1
NC_007797.1	774619	775056	-	3-hydroxyacyl-ACP dehydratase FabZ	WP_011451246.1	234	f3f3f3	-1
NC_007797.1	775073	775630	-	OmpH family outer membrane protein	WP_011451247.1	769	f3f3f3	-1
NC_007797.1	775633	777951	-	outer membrane protein assembly factor BamA	WP_011451248.1	204	f3f3f3	-1
NC_007797.1	777957	779045	-	site-2 protease family protein	WP_011451249.1	332	f3f3f3	-1
NC_007797.1	779164	779430	+	succinate dehydrogenase assembly factor 2	WP_011451250.1	729	f3f3f3	-1
NC_007797.1	779474	780678	+	thiol:disulfide interchange protein, truncation	WP_011451251.1	779	f3f3f3	-1
NC_007797.1	780679	781839	-	D-alanyl-D-alanine carboxypeptidase	WP_011451252.1	163	f3f3f3	-1
NC_007797.1	782148	783449	-	P44/Msp2 family outer membrane protein	WP_011451253.1	0	f3f3f3	-1
NC_007797.1	783574	784803	+	CCA tRNA nucleotidyltransferase	WP_011451254.1	109	f3f3f3	-1
NC_007797.1	784838	785260	-	nucleoside-diphosphate kinase	WP_011451255.1	356	f3f3f3	-1
NC_007797.1	785491	786042	+	helix-turn-helix transcriptional regulator	WP_011451256.1	971	f3f3f3	-1
NC_007797.1	786382	787302	+	P44/Msp2 family outer membrane protein	WP_011451257.1	0	f3f3f3	-1
NC_007797.1	787538	788362	+	P44/Msp2 family outer membrane protein	WP_011451258.1	0	f3f3f3	-1
NC_007797.1	788609	789871	+	P44/Msp2 family outer membrane protein	WP_044108210.1	0	f3f3f3	-1
NC_007797.1	790164	790413	+	hypothetical protein	WP_020849130.1	-1	f3f3f3	-1
NC_007797.1	790414	792822	-	valine--tRNA ligase	WP_044108166.1	368	f3f3f3	-1
NC_007797.1	793153	793449	-	hypothetical protein	WP_011451263.1	669	f3f3f3	-1
NC_007797.1	794866	795783	-	signal recognition particle-docking protein FtsY	WP_011451264.1	182	f3f3f3	-1
NC_007797.1	795857	796534	+	dethiobiotin synthase	WP_011451265.1	119	D4FB79	BioD
NC_007797.1	797218	798495	+	P44/Msp2 family outer membrane protein	WP_011451266.1	0	f3f3f3	-1
NC_007797.1	798604	798852	+	P44/Msp2 family outer membrane protein	WP_020849132.1	0	f3f3f3	-1
NC_007797.1	798880	800106	-	glutamate--cysteine ligase	WP_011451267.1	1016	f3f3f3	-1
NC_007797.1	800535	801770	-	citrate synthase	WP_011451268.1	482	f3f3f3	-1
NC_007797.1	801804	803393	-	glutamine-hydrolyzing GMP synthase	WP_011451269.1	563	f3f3f3	-1
NC_007797.1	803765	804247	+	hypothetical protein	WP_020849133.1	-1	f3f3f3	-1
NC_007797.1	805097	806215	+	P44/Msp2 family outer membrane protein	WP_080502919.1	0	f3f3f3	-1
NC_007797.1	808058	808906	-	P44/Msp2 family outer membrane protein	WP_011451275.1	0	f3f3f3	-1
NC_007797.1	809259	809492	+	hypothetical protein	WP_020849135.1	-1	f3f3f3	-1
NC_007797.1	810575	811528	-	P44/Msp2 family outer membrane protein	WP_080502920.1	0	f3f3f3	-1
NC_007797.1	811867	813111	-	5-aminolevulinate synthase	WP_011451276.1	597	f3f3f3	-1
NC_007797.1	813401	814639	-	tyrosine--tRNA ligase	WP_011451277.1	159	f3f3f3	-1
NC_007797.1	814931	816349	+	type I glutamate--ammonia ligase	WP_011451278.1	994	f3f3f3	-1
NC_007797.1	816573	817556	+	polyprenyl synthetase family protein	WP_048651632.1	213	f3f3f3	-1
NC_007797.1	818299	819057	-	P44/Msp2 family outer membrane protein	WP_080502921.1	0	f3f3f3	-1
NC_007797.1	819086	820261	-	P44/Msp2 family outer membrane protein	WP_011451280.1	0	f3f3f3	-1
NC_007797.1	821217	822233	+	DNA polymerase III subunit delta	WP_011451282.1	764	f3f3f3	-1
NC_007797.1	822440	823165	+	P44/Msp2 family outer membrane protein	WP_080502922.1	0	f3f3f3	-1
