NZ_AP013028.1	1	1382	+	chromosomal replication initiator protein DnaA	WP_041044912.1	202	FF8AD8	DnaA
NZ_AP013028.1	307830	308336	-	DNA mismatch repair protein MutS	WP_041045320.1	179	f3f3f3	-1
NZ_AP013028.1	308421	309173	+	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	WP_041045322.1	353	f3f3f3	-1
NZ_AP013028.1	309267	309989	+	Bax inhibitor-1/YccA family protein	WP_041045324.1	117	f3f3f3	-1
NZ_AP013028.1	309990	310526	+	cytochrome c oxidase assembly protein	WP_041045326.1	698	f3f3f3	-1
NZ_AP013028.1	310528	311145	+	ComF family protein	WP_041045328.1	463	f3f3f3	-1
NZ_AP013028.1	311149	312517	-	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	WP_041045330.1	612	f3f3f3	-1
NZ_AP013028.1	312518	313755	-	cystathionine beta-lyase	WP_041045332.1	1354	f3f3f3	-1
NZ_AP013028.1	313756	314052	-	BolA family transcriptional regulator	WP_041045334.1	68	f3f3f3	-1
NZ_AP013028.1	314155	316080	-	molecular chaperone DnaK	WP_041045336.1	336	f3f3f3	-1
NZ_AP013028.1	316168	317940	-	Rne/Rng family ribonuclease	WP_041045338.1	315	f3f3f3	-1
NZ_AP013028.1	318113	318313	+	50S ribosomal protein L33	WP_041045340.1	191	f3f3f3	-1
NZ_AP013028.1	318336	318614	+	DNA-binding protein	WP_041045342.1	-1	f3f3f3	-1
NZ_AP013028.1	321272	321613	+	DUF721 domain-containing protein	WP_041045344.1	959	f3f3f3	-1
NZ_AP013028.1	321651	321957	+	50S ribosomal protein L28	WP_041045346.1	235	f3f3f3	-1
NZ_AP013028.1	321958	322821	+	lipoyl synthase	WP_041045348.1	780	f3f3f3	-1
NZ_AP013028.1	322966	324825	+	hypothetical protein	WP_052463194.1	957	f3f3f3	-1
NZ_AP013028.1	325495	326601	+	D-alanyl-D-alanine carboxypeptidase	WP_041046585.1	163	f3f3f3	-1
NZ_AP013028.1	327578	328111	+	HK97 family phage prohead protease	WP_041045350.1	988	f3f3f3	-1
NZ_AP013028.1	328318	330682	+	hypothetical protein	WP_041045353.1	-1	f3f3f3	-1
NZ_AP013028.1	330683	331852	-	CCA tRNA nucleotidyltransferase	WP_041045355.1	109	f3f3f3	-1
NZ_AP013028.1	331942	332835	-	hypothetical protein	WP_041045357.1	-1	f3f3f3	-1
NZ_AP013028.1	332953	334047	+	redox-regulated ATPase YchF	WP_041045359.1	166	f3f3f3	-1
NZ_AP013028.1	335160	336089	-	class II fructose-bisphosphatase	WP_041046589.1	185	f3f3f3	-1
NZ_AP013028.1	336205	337212	+	hypothetical protein	WP_052463196.1	-1	f3f3f3	-1
NZ_AP013028.1	338152	338412	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	338540	338968	+	hypothetical protein	WP_052463197.1	-1	f3f3f3	-1
NZ_AP013028.1	338970	341618	-	pyruvate, phosphate dikinase	WP_041045361.1	38	f3f3f3	-1
NZ_AP013028.1	346925	348685	-	DNA primase	WP_041045363.1	164	f3f3f3	-1
NZ_AP013028.1	348849	350024	+	multifunctional ribose 5-phosphate isomerase B/3-demethylubiquinone-9 3-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase	WP_041045365.1	50	f3f3f3	-1
NZ_AP013028.1	350115	350429	-	TrbC/VirB2 family protein	WP_070104827.1	-1	f3f3f3	-1
NZ_AP013028.1	352169	353062	-	RluA family pseudouridine synthase	WP_084221173.1	367	f3f3f3	-1
NZ_AP013028.1	353141	354745	-	hypothetical protein	WP_041045369.1	-1	f3f3f3	-1
NZ_AP013028.1	355588	355848	-	IS5 family transposase	WP_145971837.1	-1	f3f3f3	-1
NZ_AP013028.1	356410	356670	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	360302	360562	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	361995	363239	-	hypothetical protein	WP_041045376.1	-1	f3f3f3	-1
NZ_AP013028.1	363323	363684	-	succinate dehydrogenase, hydrophobic membrane anchor protein	WP_041045378.1	724	f3f3f3	-1
NZ_AP013028.1	363685	364062	-	succinate dehydrogenase, cytochrome b556 subunit	WP_041045380.1	537	f3f3f3	-1
NZ_AP013028.1	365891	366433	+	hypothetical protein	WP_041045382.1	683	f3f3f3	-1
NZ_AP013028.1	366510	369746	-	carbamoyl-phosphate synthase large subunit	WP_041045384.1	548	f3f3f3	-1
NZ_AP013028.1	371272	374052	-	recombinase RecB	WP_041045386.1	539	f3f3f3	-1
NZ_AP013028.1	374152	377328	+	phosphoribosylformylglycinamidine synthase	WP_041045388.1	475	f3f3f3	-1
NZ_AP013028.1	377416	377928	+	hypothetical protein	WP_084221174.1	-1	f3f3f3	-1
NZ_AP013028.1	378073	378723	+	hypothetical protein	WP_084221175.1	770	f3f3f3	-1
NZ_AP013028.1	379249	379956	-	ribonuclease III	WP_041045392.1	578	f3f3f3	-1
NZ_AP013028.1	380035	381075	-	quinone-dependent dihydroorotate dehydrogenase	WP_041045394.1	241	f3f3f3	-1
NZ_AP013028.1	381649	383175	+	acyl-CoA carboxylase subunit beta	WP_041045396.1	580	f3f3f3	-1
NZ_AP013028.1	383383	384267	+	Rpn family recombination-promoting nuclease/putative transposase	WP_041045399.1	17	f3f3f3	-1
NZ_AP013028.1	384505	385320	+	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	WP_041045401.1	240	f3f3f3	-1
NZ_AP013028.1	385336	385929	+	pyridoxamine 5'-phosphate oxidase	WP_041045403.1	774	f3f3f3	-1
NZ_AP013028.1	387706	389658	+	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	WP_041046604.1	314	f3f3f3	-1
NZ_AP013028.1	389668	391335	+	aminopeptidase P family protein	WP_041045406.1	255	f3f3f3	-1
NZ_AP013028.1	391458	391829	+	hypothetical protein	WP_041045409.1	-1	f3f3f3	-1
NZ_AP013028.1	391835	392807	-	ketoacyl-ACP synthase III	WP_041045411.1	372	f3f3f3	-1
NZ_AP013028.1	392808	393845	-	phosphate acyltransferase PlsX	WP_041045413.1	556	f3f3f3	-1
NZ_AP013028.1	393856	394038	-	50S ribosomal protein L32	WP_041045415.1	198	f3f3f3	-1
NZ_AP013028.1	394335	394643	+	hypothetical protein	WP_041045417.1	-1	f3f3f3	-1
NZ_AP013028.1	394659	395300	+	transposase	WP_145971843.1	-1	f3f3f3	-1
NZ_AP013028.1	395688	395960	+	IS5 family transposase	WP_041044978.1	446	f3f3f3	-1
NZ_AP013028.1	396837	397340	+	IS5 family transposase	WP_041044928.1	662	f3f3f3	-1
NZ_AP013028.1	398926	399167	-	type II toxin-antitoxin system RelE/ParE family toxin	WP_041045420.1	47	f3f3f3	-1
NZ_AP013028.1	399168	399398	-	hypothetical protein	WP_041045422.1	94	f3f3f3	-1
NZ_AP013028.1	399547	401919	-	phenylalanine--tRNA ligase subunit beta	WP_041045424.1	335	f3f3f3	-1
NZ_AP013028.1	402032	402319	-	hypothetical protein	WP_041045426.1	-1	f3f3f3	-1
NZ_AP013028.1	402482	403462	+	type I glyceraldehyde-3-phosphate dehydrogenase	WP_041046606.1	120	f3f3f3	-1
NZ_AP013028.1	403466	404233	+	twin-arginine translocase subunit TatC	WP_041045428.1	231	f3f3f3	-1
NZ_AP013028.1	404996	405217	+	hypothetical protein	WP_041045432.1	94	f3f3f3	-1
NZ_AP013028.1	406994	407189	+	hypothetical protein	WP_041046608.1	94	f3f3f3	-1
NZ_AP013028.1	407190	407504	+	type II toxin-antitoxin system RelE/ParE family toxin	WP_041045434.1	47	f3f3f3	-1
NZ_AP013028.1	407704	407973	+	IS5 family transposase	WP_145971844.1	-1	f3f3f3	-1
NZ_AP013028.1	408732	409517	+	hypothetical protein	WP_041045439.1	-1	f3f3f3	-1
NZ_AP013028.1	409801	410157	+	hypothetical protein	WP_041045440.1	-1	f3f3f3	-1
NZ_AP013028.1	410183	410740	-	dCTP deaminase	WP_041045442.1	591	f3f3f3	-1
NZ_AP013028.1	411177	411434	-	hypothetical protein	WP_084221176.1	1590	f3f3f3	-1
NZ_AP013028.1	411566	412390	+	YihY/virulence factor BrkB family protein	WP_041046610.1	727	f3f3f3	-1
NZ_AP013028.1	412400	413149	+	SDR family oxidoreductase	WP_041045444.1	521	f3f3f3	-1
NZ_AP013028.1	413207	415003	-	elongation factor 4	WP_041045446.1	190	f3f3f3	-1
NZ_AP013028.1	415068	416465	-	malonyl-CoA decarboxylase	WP_041045448.1	979	f3f3f3	-1
NZ_AP013028.1	416721	416981	+	IS5 family transposase	WP_145971845.1	-1	f3f3f3	-1
NZ_AP013028.1	418382	418903	+	cytochrome b	WP_041045452.1	1454	f3f3f3	-1
NZ_AP013028.1	418909	419955	+	2-nitropropane dioxygenase	WP_041045454.1	761	f3f3f3	-1
NZ_AP013028.1	420060	421259	+	hypothetical protein	WP_041045456.1	-1	f3f3f3	-1
NZ_AP013028.1	421361	421723	+	hypothetical protein	WP_041045458.1	-1	f3f3f3	-1
NZ_AP013028.1	421759	424093	+	type VI secretion protein	WP_041045460.1	1027	f3f3f3	-1
NZ_AP013028.1	424094	427066	+	hypothetical protein	WP_041045462.1	-1	f3f3f3	-1
NZ_AP013028.1	427712	428200	-	hypothetical protein	WP_084221177.1	1576	f3f3f3	-1
NZ_AP013028.1	428270	429658	+	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase	WP_041045466.1	688	f3f3f3	-1
NZ_AP013028.1	430099	430225	+	transposase	WP_084221178.1	446	f3f3f3	-1
NZ_AP013028.1	430226	430729	+	IS5 family transposase	WP_041044928.1	662	f3f3f3	-1
NZ_AP013028.1	430799	431059	-	hypothetical protein	WP_041045470.1	-1	f3f3f3	-1
NZ_AP013028.1	431750	432928	+	aspartate aminotransferase family protein	WP_041045472.1	97	f3f3f3	-1
NZ_AP013028.1	433036	434322	+	HlyC/CorC family transporter	WP_041045474.1	26	f3f3f3	-1
NZ_AP013028.1	434332	434590	+	DUF2312 domain-containing protein	WP_041045476.1	1548	f3f3f3	-1
NZ_AP013028.1	434591	435154	+	UbiX family flavin prenyltransferase	WP_041045478.1	449	f3f3f3	-1
NZ_AP013028.1	435158	436054	+	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	WP_041045480.1	222	f3f3f3	-1
NZ_AP013028.1	436085	436903	+	polysaccharide deacetylase family protein	WP_041046612.1	1545	f3f3f3	-1
NZ_AP013028.1	437413	438639	+	MFS transporter	WP_041045482.1	735	f3f3f3	-1
NZ_AP013028.1	440802	442688	-	hypothetical protein	WP_145971846.1	-1	f3f3f3	-1
NZ_AP013028.1	443682	444140	-	hypothetical protein	WP_041045488.1	-1	f3f3f3	-1
NZ_AP013028.1	444354	444562	+	hypothetical protein	WP_041045490.1	94	f3f3f3	-1
NZ_AP013028.1	444563	444826	+	type II toxin-antitoxin system RelE/ParE family toxin	WP_084221205.1	47	f3f3f3	-1
NZ_AP013028.1	445159	445473	+	IS5 family transposase	WP_041045085.1	446	f3f3f3	-1
NZ_AP013028.1	445485	445859	+	IS5/IS1182 family transposase	WP_070104828.1	662	f3f3f3	-1
NZ_AP013028.1	446943	447353	+	hypothetical protein	WP_041045492.1	-1	f3f3f3	-1
NZ_AP013028.1	447488	447805	+	hypothetical protein	WP_041045494.1	-1	f3f3f3	-1
NZ_AP013028.1	447821	448583	+	hypothetical protein	WP_041045496.1	-1	f3f3f3	-1
NZ_AP013028.1	448584	449078	+	hypothetical protein	WP_041045498.1	-1	f3f3f3	-1
NZ_AP013028.1	449113	449628	+	hypothetical protein	WP_041045500.1	-1	f3f3f3	-1
NZ_AP013028.1	449759	450050	-	type II toxin-antitoxin system RelE/ParE family toxin	WP_145971847.1	-1	f3f3f3	-1
NZ_AP013028.1	450051	450272	-	hypothetical protein	WP_041045504.1	94	f3f3f3	-1
NZ_AP013028.1	450373	450663	-	hypothetical protein	WP_041045506.1	47	f3f3f3	-1
NZ_AP013028.1	450664	450885	-	hypothetical protein	WP_041045509.1	94	f3f3f3	-1
NZ_AP013028.1	450983	451462	+	hypothetical protein	WP_041045510.1	-1	f3f3f3	-1
NZ_AP013028.1	451815	452030	+	hypothetical protein	WP_041045512.1	-1	f3f3f3	-1
NZ_AP013028.1	452924	453823	-	hypothetical protein	WP_145971848.1	-1	f3f3f3	-1
NZ_AP013028.1	454166	455581	+	hypothetical protein	WP_052463198.1	-1	f3f3f3	-1
NZ_AP013028.1	456650	459545	-	hypothetical protein	WP_052463199.1	749	f3f3f3	-1
NZ_AP013028.1	459546	459983	-	ribonuclease HI	WP_041045517.1	279	f3f3f3	-1
NZ_AP013028.1	460174	461061	-	protoheme IX farnesyltransferase	WP_041045518.1	494	f3f3f3	-1
NZ_AP013028.1	461063	462613	-	cytochrome c oxidase subunit I	WP_041045519.1	575	f3f3f3	-1
NZ_AP013028.1	462629	463393	-	cytochrome c oxidase subunit II	WP_041045520.1	497	f3f3f3	-1
NZ_AP013028.1	464566	466083	-	HlyD family type I secretion periplasmic adaptor subunit	WP_041046618.1	696	f3f3f3	-1
NZ_AP013028.1	466314	467048	+	3-oxoacyl-[acyl-carrier-protein] reductase	WP_041045521.1	246	f3f3f3	-1
NZ_AP013028.1	467148	467498	+	TrbC/VirB2 family protein	WP_041045522.1	25	f3f3f3	-1
NZ_AP013028.1	467524	468804	-	M48 family metalloprotease	WP_041045524.1	495	f3f3f3	-1
NZ_AP013028.1	468876	469529	-	3,4-dihydroxy-2-butanone-4-phosphate synthase	WP_041045526.1	72	f3f3f3	-1
NZ_AP013028.1	469533	470027	-	transcription elongation factor GreA	WP_041045528.1	365	f3f3f3	-1
NZ_AP013028.1	470037	471574	-	F0F1 ATP synthase subunit alpha	WP_041045530.1	203	f3f3f3	-1
NZ_AP013028.1	471575	472135	-	ATP synthase F1 subunit delta	WP_041045532.1	199	f3f3f3	-1
NZ_AP013028.1	472428	472778	-	TrbC/VirB2 family protein	WP_041045534.1	25	f3f3f3	-1
NZ_AP013028.1	472932	474044	-	molecular chaperone DnaJ	WP_041046620.1	167	f3f3f3	-1
NZ_AP013028.1	474379	474708	+	TrbC/VirB2 family protein	WP_041045536.1	25	f3f3f3	-1
NZ_AP013028.1	476255	476998	+	outer membrane protein assembly factor BamD	WP_052463200.1	106	f3f3f3	-1
NZ_AP013028.1	477046	477795	+	YebC/PmpR family DNA-binding transcriptional regulator	WP_041045538.1	331	f3f3f3	-1
NZ_AP013028.1	477799	478771	+	M23 family metallopeptidase	WP_041045540.1	656	f3f3f3	-1
NZ_AP013028.1	478772	479641	+	SPFH domain-containing protein	WP_041045542.1	1000	f3f3f3	-1
NZ_AP013028.1	480312	480890	-	hypothetical protein	WP_041045544.1	2	f3f3f3	-1
NZ_AP013028.1	481343	481669	+	hypothetical protein	WP_041045546.1	-1	f3f3f3	-1
NZ_AP013028.1	482801	483190	+	hypothetical protein	WP_041045548.1	995	f3f3f3	-1
NZ_AP013028.1	483246	484022	+	hypothetical protein	WP_041045550.1	-1	f3f3f3	-1
NZ_AP013028.1	485100	486458	-	DNA recombination protein RmuC	WP_041045552.1	593	f3f3f3	-1
NZ_AP013028.1	486551	487291	-	hypothetical protein	WP_041045554.1	-1	f3f3f3	-1
NZ_AP013028.1	492250	493185	+	Rpn family recombination-promoting nuclease/putative transposase	WP_041045557.1	17	f3f3f3	-1
NZ_AP013028.1	493368	493640	+	IS5 family transposase	WP_041044978.1	446	f3f3f3	-1
NZ_AP013028.1	494522	495025	+	IS5 family transposase	WP_041044928.1	662	f3f3f3	-1
NZ_AP013028.1	495034	495783	-	hypothetical protein	WP_041045561.1	-1	f3f3f3	-1
NZ_AP013028.1	495841	496737	-	cation diffusion facilitator family transporter	WP_041046627.1	697	f3f3f3	-1
NZ_AP013028.1	498471	499358	+	Rpn family recombination-promoting nuclease/putative transposase	WP_041045563.1	17	f3f3f3	-1
NZ_AP013028.1	499589	500569	+	phospho-N-acetylmuramoyl-pentapeptide-transferase	WP_041045565.1	624	f3f3f3	-1
NZ_AP013028.1	500576	501184	+	ribonuclease HII	WP_041045567.1	273	f3f3f3	-1
NZ_AP013028.1	501237	501851	-	SCO family protein	WP_041045569.1	738	f3f3f3	-1
NZ_AP013028.1	501896	502591	-	DNA polymerase III subunit epsilon	WP_041045571.1	558	f3f3f3	-1
NZ_AP013028.1	502603	503259	-	Tim44 domain-containing protein	WP_041045573.1	690	f3f3f3	-1
NZ_AP013028.1	503427	503930	+	protein-export chaperone SecB	WP_041045575.1	599	f3f3f3	-1
NZ_AP013028.1	504129	504329	+	30S ribosomal protein S21	WP_041045577.1	-1	f3f3f3	-1
NZ_AP013028.1	504358	505518	+	ADP-forming succinate--CoA ligase subunit beta	WP_041045579.1	448	f3f3f3	-1
NZ_AP013028.1	505522	506400	+	succinate--CoA ligase subunit alpha	WP_041045581.1	524	f3f3f3	-1
NZ_AP013028.1	506408	507190	-	diaminopimelate epimerase	WP_041045583.1	653	f3f3f3	-1
NZ_AP013028.1	507882	508405	+	biotin transporter BioY	WP_041045585.1	944	f3f3f3	-1
NZ_AP013028.1	508406	508812	+	DUF1284 domain-containing protein	WP_041045587.1	-1	f3f3f3	-1
NZ_AP013028.1	508813	509124	-	hypothetical protein	WP_041045589.1	-1	f3f3f3	-1
NZ_AP013028.1	509448	510132	-	ankyrin repeat domain-containing protein	WP_084221179.1	2	f3f3f3	-1
NZ_AP013028.1	510133	510393	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	510908	511183	-	ankyrin repeat domain-containing protein	WP_041045591.1	2	f3f3f3	-1
NZ_AP013028.1	512691	512987	-	hypothetical protein	WP_041045593.1	-1	f3f3f3	-1
NZ_AP013028.1	512993	517693	-	NAD-glutamate dehydrogenase	WP_041045595.1	675	f3f3f3	-1
NZ_AP013028.1	518071	519243	+	NADH-quinone oxidoreductase subunit D	WP_041045597.1	589	f3f3f3	-1
NZ_AP013028.1	520095	520838	-	5'/3'-nucleotidase SurE	WP_041045599.1	523	f3f3f3	-1
NZ_AP013028.1	521060	523096	+	NAD-dependent DNA ligase LigA	WP_041045601.1	226	f3f3f3	-1
NZ_AP013028.1	523179	523667	-	crossover junction endodeoxyribonuclease RuvC	WP_041045603.1	363	f3f3f3	-1
NZ_AP013028.1	523683	524495	-	cytochrome c oxidase subunit 3	WP_041045605.1	569	f3f3f3	-1
NZ_AP013028.1	525260	525910	-	TenA family transcriptional regulator	WP_041045607.1	1595	f3f3f3	-1
NZ_AP013028.1	526645	526905	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	529205	531163	+	primosomal protein N'	WP_041045611.1	299	f3f3f3	-1
NZ_AP013028.1	531311	532057	+	ankyrin repeat domain-containing protein	WP_145971849.1	-1	f3f3f3	-1
NZ_AP013028.1	532063	533321	-	histidine--tRNA ligase	WP_041045613.1	366	f3f3f3	-1
NZ_AP013028.1	533322	533894	-	NifU family protein	WP_041046633.1	577	f3f3f3	-1
NZ_AP013028.1	533956	534315	+	DnaJ domain-containing protein	WP_052463204.1	-1	f3f3f3	-1
NZ_AP013028.1	534796	536046	-	tyrosine--tRNA ligase	WP_041045615.1	159	f3f3f3	-1
NZ_AP013028.1	536105	536431	-	ribosome silencing factor	WP_052463340.1	293	f3f3f3	-1
NZ_AP013028.1	536600	537197	+	AAA family ATPase	WP_041045619.1	-1	f3f3f3	-1
NZ_AP013028.1	537198	537692	+	RNA pyrophosphohydrolase	WP_041045621.1	929	f3f3f3	-1
NZ_AP013028.1	537700	538476	+	TatD family hydrolase	WP_041046636.1	374	f3f3f3	-1
NZ_AP013028.1	538503	539453	-	malate dehydrogenase	WP_041045624.1	551	f3f3f3	-1
NZ_AP013028.1	539457	540021	-	NADH-quinone oxidoreductase subunit C	WP_041045626.1	731	f3f3f3	-1
NZ_AP013028.1	540022	540537	-	NADH-quinone oxidoreductase subunit B	WP_041045628.1	562	f3f3f3	-1
NZ_AP013028.1	540542	540895	-	NADH-quinone oxidoreductase subunit A	WP_041045630.1	480	f3f3f3	-1
NZ_AP013028.1	540921	541289	-	HIT domain-containing protein	WP_041045632.1	206	f3f3f3	-1
NZ_AP013028.1	541293	542270	-	hypothetical protein	WP_052463205.1	-1	f3f3f3	-1
NZ_AP013028.1	542454	543830	+	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	WP_041045634.1	638	f3f3f3	-1
NZ_AP013028.1	545443	545703	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	546751	547527	+	ABC transporter ATP-binding protein	WP_041045636.1	277	f3f3f3	-1
NZ_AP013028.1	547667	547834	+	twin-arginine translocase TatA/TatE family subunit	WP_006013840.1	128	f3f3f3	-1
NZ_AP013028.1	547965	548621	+	exopolysaccharide biosynthesis protein	WP_041045638.1	996	f3f3f3	-1
NZ_AP013028.1	548658	549986	+	cysteine--tRNA ligase	WP_145971850.1	-1	f3f3f3	-1
NZ_AP013028.1	549993	550395	+	hypothetical protein	WP_041045641.1	758	f3f3f3	-1
NZ_AP013028.1	550396	551247	-	hypothetical protein	WP_052463206.1	-1	f3f3f3	-1
NZ_AP013028.1	551305	552504	-	phosphoglycerate kinase	WP_041045643.1	466	f3f3f3	-1
NZ_AP013028.1	552528	553556	-	NAD(P)/FAD-dependent oxidoreductase	WP_041045645.1	684	f3f3f3	-1
NZ_AP013028.1	554242	554502	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	556328	557407	-	peptide chain release factor 1	WP_041045646.1	208	f3f3f3	-1
NZ_AP013028.1	557527	558120	+	YihA family ribosome biogenesis GTP-binding protein	WP_041045647.1	337	f3f3f3	-1
NZ_AP013028.1	558125	559036	+	acetylglutamate kinase	WP_041046648.1	272	f3f3f3	-1
NZ_AP013028.1	559336	560583	+	IscS subfamily cysteine desulfurase	WP_041045648.1	378	f3f3f3	-1
NZ_AP013028.1	561991	563352	-	glutamate--tRNA ligase	WP_041045649.1	306	f3f3f3	-1
NZ_AP013028.1	563513	564244	+	hypothetical protein	WP_041045650.1	-1	f3f3f3	-1
NZ_AP013028.1	564323	566284	+	ATP-grasp domain-containing protein	WP_041045651.1	333	f3f3f3	-1
NZ_AP013028.1	566285	567301	-	heme A synthase	WP_041046649.1	755	f3f3f3	-1
NZ_AP013028.1	568895	569371	-	ATP synthase F0F1 subunit B	WP_041045653.1	958	f3f3f3	-1
NZ_AP013028.1	569380	569859	-	ATP synthase F0 subunit B	WP_041045655.1	739	f3f3f3	-1
NZ_AP013028.1	569863	570090	-	F0F1 ATP synthase subunit C	WP_041045657.1	705	f3f3f3	-1
NZ_AP013028.1	570150	570875	-	F0F1 ATP synthase subunit A	WP_041045659.1	412	f3f3f3	-1
NZ_AP013028.1	570984	571337	-	hypothetical protein	WP_041045661.1	-1	f3f3f3	-1
NZ_AP013028.1	571474	572280	-	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	WP_041045663.1	283	f3f3f3	-1
NZ_AP013028.1	572466	573167	+	triosephosphate isomerase	WP_041045665.1	533	f3f3f3	-1
NZ_AP013028.1	574448	574708	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	575234	575506	-	IS5 family transposase	WP_041044978.1	446	f3f3f3	-1
NZ_AP013028.1	575705	575821	+	hypothetical protein	WP_084221180.1	-1	f3f3f3	-1
NZ_AP013028.1	575921	576281	-	cytochrome c biogenesis protein CcmH	WP_041045667.1	596	f3f3f3	-1
NZ_AP013028.1	576282	577340	-	hypothetical protein	WP_041045669.1	-1	f3f3f3	-1
NZ_AP013028.1	577343	577702	-	2Fe-2S iron-sulfur cluster binding domain-containing protein	WP_041045671.1	598	f3f3f3	-1
NZ_AP013028.1	577815	579353	+	UDP-N-acetylmuramoylalanine--D-glutamate ligase	WP_041045673.1	642	f3f3f3	-1
NZ_AP013028.1	579360	579959	+	COQ9 family protein	WP_041045675.1	975	f3f3f3	-1
NZ_AP013028.1	581091	581359	+	hypothetical protein	WP_041046653.1	-1	f3f3f3	-1
NZ_AP013028.1	581360	581908	-	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	WP_041045677.1	534	f3f3f3	-1
NZ_AP013028.1	582631	582891	+	ankyrin repeat domain-containing protein	WP_052463208.1	2	f3f3f3	-1
NZ_AP013028.1	584266	584526	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	585027	585758	-	site-specific DNA-methyltransferase	WP_084221181.1	921	f3f3f3	-1
NZ_AP013028.1	586131	587870	-	single-stranded-DNA-specific exonuclease RecJ	WP_041046660.1	327	f3f3f3	-1
NZ_AP013028.1	588030	588581	+	hypothetical protein	WP_052463211.1	-1	f3f3f3	-1
NZ_AP013028.1	588689	589216	+	cytochrome c family protein	WP_041045679.1	687	f3f3f3	-1
NZ_AP013028.1	589218	589964	+	alpha/beta hydrolase	WP_041045681.1	751	f3f3f3	-1
NZ_AP013028.1	590634	592019	+	class II fumarate hydratase	WP_041046664.1	124	f3f3f3	-1
NZ_AP013028.1	592020	592274	-	hypothetical protein	WP_041045683.1	-1	f3f3f3	-1
NZ_AP013028.1	592420	593064	-	fructose-6-phosphate aldolase	WP_041045685.1	290	f3f3f3	-1
NZ_AP013028.1	593265	593516	+	hypothetical protein	WP_145971851.1	-1	f3f3f3	-1
NZ_AP013028.1	593609	593953	-	ATP synthase subunit epsilon	WP_041045689.1	223	f3f3f3	-1
NZ_AP013028.1	593959	595401	-	F0F1 ATP synthase subunit beta	WP_041046666.1	345	f3f3f3	-1
NZ_AP013028.1	595509	596588	-	phosphate ABC transporter permease subunit PstC	WP_041046667.1	531	f3f3f3	-1
NZ_AP013028.1	596712	596846	+	50S ribosomal protein L34	WP_011256888.1	165	f3f3f3	-1
NZ_AP013028.1	596854	597198	+	ribonuclease P protein component	WP_084221182.1	1023	f3f3f3	-1
NZ_AP013028.1	597285	597551	+	hypothetical protein	WP_041045691.1	-1	f3f3f3	-1
NZ_AP013028.1	600941	602014	+	methyltransferase domain-containing protein	WP_041045693.1	997	f3f3f3	-1
NZ_AP013028.1	602069	603853	+	ribonucleoside-diphosphate reductase subunit alpha	WP_041045695.1	126	f3f3f3	-1
NZ_AP013028.1	603854	604321	+	Holliday junction resolvase RuvX	WP_041045697.1	248	f3f3f3	-1
NZ_AP013028.1	604465	606057	+	hypothetical protein	WP_041045699.1	-1	f3f3f3	-1
NZ_AP013028.1	607022	607606	-	glycerol-3-phosphate acyltransferase	WP_041045704.1	496	f3f3f3	-1
NZ_AP013028.1	607619	609085	-	amino acid carrier protein	WP_041045706.1	514	f3f3f3	-1
NZ_AP013028.1	610458	611224	-	CDP-diacylglycerol--serine O-phosphatidyltransferase	WP_041045708.1	525	f3f3f3	-1
NZ_AP013028.1	611225	611917	-	phosphatidylserine decarboxylase	WP_041045710.1	470	f3f3f3	-1
NZ_AP013028.1	612148	613215	-	recombinase RecA	WP_041045712.1	265	f3f3f3	-1
NZ_AP013028.1	613839	614390	-	aminoacyl-tRNA hydrolase	WP_041045715.1	505	f3f3f3	-1
NZ_AP013028.1	614390	615001	-	50S ribosomal protein L25/general stress protein Ctc	WP_041045718.1	382	f3f3f3	-1
NZ_AP013028.1	615961	617301	+	dihydroorotase	WP_041045721.1	238	f3f3f3	-1
NZ_AP013028.1	617455	618594	-	peptidylprolyl isomerase	WP_041045723.1	676	f3f3f3	-1
NZ_AP013028.1	618814	620142	+	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	WP_041045725.1	229	f3f3f3	-1
