NC_000913.3	1	1403	-	chromosomal replication initiator protein DnaA	NP_418157.1	202	FF8AD8	DnaA
NC_000913.3	1259427	1260731	+	inosine/guanosine kinase	NP_415010.1	-1	f3f3f3	-1
NC_000913.3	1260864	1262540	-	putative transporter YbaL	NP_415011.1	70	f3f3f3	-1
NC_000913.3	1262778	1263998	-	fosmidomycin efflux pump	NP_415012.1	-1	f3f3f3	-1
NC_000913.3	1264216	1265868	+	5'-nucleotidase/UDP-sugar hydrolase	NP_415013.1	1376	f3f3f3	-1
NC_000913.3	1265905	1266384	-	Cys-tRNA(Pro) and Cys-tRNA(Cys) deacylase	NP_415014.1	-1	f3f3f3	-1
NC_000913.3	1266588	1267382	-	TraB family protein YbaP	NP_415015.1	-1	f3f3f3	-1
NC_000913.3	1267520	1267861	+	putative DNA-binding transcriptional regulator YbaQ	NP_415016.4	869	f3f3f3	-1
NC_000913.3	1268177	1270477	-	Cu(+) exporting P-type ATPase	NP_415017.1	1405	f3f3f3	-1
NC_000913.3	1270478	1270681	-	soluble Cu(+) chaperone	YP_009518752.1|gnl|REF_b0484|CDS626	-1	f3f3f3	-1
NC_000913.3	1270943	1271875	+	glutaminase 1	NP_415018.1	1343	f3f3f3	-1
NC_000913.3	1271878	1273170	+	putative transporter YbaT	NP_415019.1	59	f3f3f3	-1
NC_000913.3	1273295	1273702	+	DNA-binding transcriptional dual regulator CueR	NP_415020.1	48	f3f3f3	-1
NC_000913.3	1273703	1274157	-	NfeD-like family protein	NP_415021.2	-1	f3f3f3	-1
NC_000913.3	1274158	1275075	-	PHB domain-containing protein	NP_415022.1	1295	f3f3f3	-1
NC_000913.3	1275221	1275884	+	putative iron ABC exporter ATP-binding subunit FetA	NP_415023.1	-1	f3f3f3	-1
NC_000913.3	1275885	1276664	+	putative iron ABC exporter membrane subunit FetB	NP_415024.4	-1	f3f3f3	-1
NC_000913.3	1276727	1277581	-	chaperedoxin	NP_415025.4	-1	f3f3f3	-1
NC_000913.3	1277642	1278440	-	NADP(+)-dependent aldehyde reductase	NP_415026.1	-1	f3f3f3	-1
NC_000913.3	1278441	1279034	-	multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1	NP_415027.1	-1	f3f3f3	-1
NC_000913.3	1279035	1279717	+	putative ABC transporter ATP-binding protein YbbA	NP_415028.1	1138	f3f3f3	-1
NC_000913.3	1279718	1282132	+	putative ABC transporter membrane subunit YbbP	NP_415029.1	-1	f3f3f3	-1
NC_000913.3	1282563	1286843	+	protein RhsD	NP_415030.1	629	f3f3f3	-1
NC_000913.3	1286883	1287251	+	PF15631 family protein YbbC	NP_415031.1	1440	f3f3f3	-1
NC_000913.3	1287251	1287941	+	putative RHS domain-containing protein YlbH	gnl|b0499|CDS642	-1	f3f3f3	-1
NC_000913.3	1287942	1288432	+	putative uncharacterized protein YbbD	gnl|b0501|CDS643	-1	f3f3f3	-1
NC_000913.3	1288799	1288894	+	RHS element protein YlbI	gnl|b4632|CDS644	-1	f3f3f3	-1
NC_000913.3	1288947	1289318	-	putative DNA-binding transcriptional regulator YlbG	YP_009518753.1|gnl|REF_b0502|CDS645	-1	f3f3f3	-1
NC_000913.3	1289434	1290528	-	tRNA 2-selenouridine synthase	NP_415036.1	-1	f3f3f3	-1
NC_000913.3	1290597	1291523	-	DNA-binding transcriptional activator AllS	NP_415037.1	1	f3f3f3	-1
NC_000913.3	1291753	1292235	+	ureidoglycolate lyase	NP_415038.1	-1	f3f3f3	-1
NC_000913.3	1292313	1293128	+	DNA-binding transcriptional repressor AllR	NP_415039.1	61	f3f3f3	-1
NC_000913.3	1293218	1294999	+	glyoxylate carboligase	NP_415040.1	601	f3f3f3	-1
NC_000913.3	1295012	1295788	+	hydroxypyruvate isomerase	NP_415041.1	606	f3f3f3	-1
NC_000913.3	1295888	1296766	+	tartronate semialdehyde reductase 2	NP_415042.1	423	f3f3f3	-1
NC_000913.3	1296935	1298389	+	putative allantoin transporter	NP_415044.4	-1	f3f3f3	-1
NC_000913.3	1298449	1299810	+	allantoinase	NP_415045.1	238	f3f3f3	-1
NC_000913.3	1299867	1301168	+	putative purine transporter	NP_415046.4	134	f3f3f3	-1
NC_000913.3	1301190	1302335	+	glycerate 2-kinase 2	NP_415047.1	1137	f3f3f3	-1
NC_000913.3	1302563	1303348	-	(S)-ureidoglycine aminohydrolase	NP_415048.1	-1	f3f3f3	-1
NC_000913.3	1303359	1304594	-	allantoate amidohydrolase	NP_415049.1	-1	f3f3f3	-1
NC_000913.3	1304616	1305665	-	ureidoglycolate dehydrogenase	NP_415050.1	898	f3f3f3	-1
NC_000913.3	1305982	1307649	+	putative acyl-CoA synthetase FdrA	NP_415051.1	1301	f3f3f3	-1
NC_000913.3	1307659	1308918	+	DUF1116 domain-containing protein YlbE	YP_009029994.1	1107	f3f3f3	-1
NC_000913.3	1308929	1309740	+	DUF2877 domain-containing protein YlbF	NP_415053.1	1189	f3f3f3	-1
NC_000913.3	1309741	1310634	+	putative carbamate kinase	NP_415054.1	852	f3f3f3	-1
NC_000913.3	1310829	1311892	-	5-(carboxyamino)imidazole ribonucleotide synthase	NP_415055.1	772	f3f3f3	-1
NC_000913.3	1311893	1312402	-	N(5)-carboxyaminoimidazole ribonucleotide mutase	NP_415056.1	518	f3f3f3	-1
NC_000913.3	1312520	1313242	-	UDP-2,3-diacylglucosamine diphosphatase	NP_415057.1	-1	f3f3f3	-1
NC_000913.3	1313245	1313739	-	peptidyl-prolyl cis-trans isomerase B	NP_415058.1	1090	f3f3f3	-1
NC_000913.3	1313913	1315298	+	cysteine--tRNA ligase	NP_415059.1	499	f3f3f3	-1
NC_000913.3	1315334	1315855	-	conserved inner membrane protein YbcI	NP_415060.1	-1	f3f3f3	-1
NC_000913.3	1315963	1316175	-	putative RNA-binding protein YbcJ	NP_415061.2	-1	f3f3f3	-1
NC_000913.3	1316177	1317043	-	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	NP_415062.1	222	f3f3f3	-1
NC_000913.3	1317514	1318056	+	putative fimbrial protein SfmA	NP_415063.4	12	f3f3f3	-1
NC_000913.3	1318276	1318968	+	putative fimbrial chaperone SfmC	NP_415064.1	23	f3f3f3	-1
NC_000913.3	1318999	1321602	+	putative fimbrial usher protein SfmD	NP_415065.1	43	f3f3f3	-1
NC_000913.3	1321638	1322621	+	putative fimbrial adhesin protein SfmH	NP_415066.2	846	f3f3f3	-1
NC_000913.3	1322632	1323147	+	putative fimbrial protein SfmF	NP_415067.1	12	f3f3f3	-1
NC_000913.3	1323150	1323782	-	putative LuxR family transcriptional regulator FimZ	NP_415068.1	10	f3f3f3	-1
NC_000913.3	1324117	1325159	-	DLP12 prophage	NP_415069.1	24	f3f3f3	-1
NC_000913.3	1325160	1325381	-	excisionase	gnl|b4633|CDS688	-1	f3f3f3	-1
NC_000913.3	1325400	1325663	-	DLP12 prophage	gnl|b0539|CDS689	-1	f3f3f3	-1
NC_000913.3	1325986	1326078	+	DLP12 prophage	gnl|b0542|CDS=691	-1	f3f3f3	-1
NC_000913.3	1326144	1326439	+	DLP12 prophage	NP_415072.2	416	f3f3f3	-1
NC_000913.3	1326440	1327306	+	DLP12 prophage	NP_415073.1	85	f3f3f3	-1
NC_000913.3	1327617	1327949	+	multidrug/betaine/choline efflux transporter EmrE	NP_415075.1	-1	f3f3f3	-1
NC_000913.3	1327997	1328146	+	protein YlcJ	YP_009518754.1|gnl|REF_b4733|CDS696	-1	f3f3f3	-1
NC_000913.3	1328204	1329730	+	DLP12 prophage	NP_415076.1	145	f3f3f3	-1
NC_000913.3	1330195	1330746	+	DLP12 prophage	NP_415077.1	786	f3f3f3	-1
NC_000913.3	1330756	1331553	+	DLP12 prophage	NP_415078.1	5	f3f3f3	-1
NC_000913.3	1331670	1331767	+	DLP12 prophage	YP_001165308.1	-1	f3f3f3	-1
NC_000913.3	1331768	1332223	+	DLP12 prophage	NP_415079.1	-1	f3f3f3	-1
NC_000913.3	1332223	1332385	+	DLP12 prophage	NP_415080.1	-1	f3f3f3	-1
NC_000913.3	1332386	1332672	+	DLP12 prophage	NP_415081.1	-1	f3f3f3	-1
NC_000913.3	1332673	1333031	+	DLP12 prophage	NP_415082.1	-1	f3f3f3	-1
NC_000913.3	1333032	1333172	+	DLP12 prophage	YP_588439.1	-1	f3f3f3	-1
NC_000913.3	1333258	1333641	+	DLP12 prophage	NP_415083.1	-1	f3f3f3	-1
NC_000913.3	1334039	1335055	-	DLP12 prophage	NP_415084.1	20	f3f3f3	-1
NC_000913.3	1335088	1336127	-	DLP12 prophage	gnl|b0553|CDS=707	-1	f3f3f3	-1
NC_000913.3	1336700	1336915	+	DLP12 prophage	NP_415086.1	1099	f3f3f3	-1
NC_000913.3	1336915	1337408	+	DLP12 prophage	NP_415087.1	1373	f3f3f3	-1
NC_000913.3	1337409	1337628	+	DLP12 prophage	NP_415088.1	-1	f3f3f3	-1
NC_000913.3	1337629	1337811	+	DLP12 prophage	YP_588440.1	1042	f3f3f3	-1
NC_000913.3	1337902	1338195	-	DLP12 prophage	NP_415089.1	-1	f3f3f3	-1
NC_000913.3	1338486	1338896	-	DLP12 prophage	NP_415090.2	868	f3f3f3	-1
NC_000913.3	1339182	1339388	+	DLP12 prophage	NP_415091.1	-1	f3f3f3	-1
NC_000913.3	1339553	1339747	-	DLP12 prophage	YP_001165309.1	1055	f3f3f3	-1
NC_000913.3	1340136	1340655	+	DLP12 prophage	NP_415092.1	1175	f3f3f3	-1
NC_000913.3	1340656	1340835	+	DLP12 prophage	gnl|b4634|CDS719	-1	f3f3f3	-1
NC_000913.3	1340836	1341399	+	DLP12 prophage	YP_009518755.1|gnl|REF_b0561|CDS720	-1	f3f3f3	-1
NC_000913.3	1341454	1342108	-	DLP12 prophage	gnl|b0562|CDS721	-1	f3f3f3	-1
NC_000913.3	1342177	1342362	+	DLP12 prophage	YP_009518756.1|gnl|REF_b0563|CDS722	-1	f3f3f3	-1
NC_000913.3	1342983	1343732	+	DNA-binding transcriptional activator AppY	NP_415096.1	5	f3f3f3	-1
NC_000913.3	1343982	1344935	-	outer membrane protease VII (outer membrane protein 3b)	NP_415097.1	-1	f3f3f3	-1
NC_000913.3	1345449	1346210	-	DNA-binding transcriptional activator EnvY	NP_415098.1	5	f3f3f3	-1
NC_000913.3	1346393	1347283	-	DUF4434 domain-containing protein YbcH	NP_415099.1	-1	f3f3f3	-1
NC_000913.3	1347284	1350242	-	bacteriophage N4 receptor, outer membrane protein	NP_415100.1	-1	f3f3f3	-1
NC_000913.3	1350243	1352480	-	bacteriophage N4 receptor, inner membrane subunit	NP_415101.1	-1	f3f3f3	-1
NC_000913.3	1352630	1354061	-	sensory histidine kinase CusS	NP_415102.1	29	f3f3f3	-1
NC_000913.3	1354062	1354745	-	DNA-binding transcriptional activator CusR	NP_415103.1	74	f3f3f3	-1
NC_000913.3	1354902	1356275	+	copper/silver export system outer membrane channel	NP_415104.1	1452	f3f3f3	-1
NC_000913.3	1356433	1356765	+	copper/silver export system periplasmic binding protein	NP_415105.1	-1	f3f3f3	-1
NC_000913.3	1356781	1358004	+	copper/silver export system membrane fusion protein	NP_415106.1	-1	f3f3f3	-1
NC_000913.3	1358016	1361159	+	copper/silver export system RND permease	NP_415107.1	-1	f3f3f3	-1
NC_000913.3	1361261	1362637	+	phenylalanine:H(+) symporter PheP	NP_415108.1	40	f3f3f3	-1
NC_000913.3	1362718	1363965	-	miniconductance mechanosensitive channel YbdG	NP_415109.1	1263	f3f3f3	-1
NC_000913.3	1364073	1364726	-	NAD(P)H nitroreductase NfsB	NP_415110.1	-1	f3f3f3	-1
NC_000913.3	1364820	1365188	-	PF04237 family protein YbdF	NP_415111.1	1174	f3f3f3	-1
NC_000913.3	1365253	1365501	-	DUF1158 domain-containing protein YbdJ	NP_415112.1	-1	f3f3f3	-1
NC_000913.3	1365567	1366685	-	carboxylate-amine ligase	NP_415113.1	-1	f3f3f3	-1
NC_000913.3	1367138	1367290	+	protein HokE	YP_025295.1	130	f3f3f3	-1
NC_000913.3	1367367	1368479	+	IS186/IS421 transposase	NP_415114.1	843	f3f3f3	-1
NC_000913.3	1368761	1369381	-	phosphopantetheinyl transferase EntD	NP_415115.2	1286	f3f3f3	-1
NC_000913.3	1369556	1371796	-	ferric enterobactin outer membrane transporter	NP_415116.1	56	f3f3f3	-1
NC_000913.3	1372039	1373241	+	enterochelin esterase	NP_415117.2	-1	f3f3f3	-1
NC_000913.3	1373244	1373458	+	enterobactin biosynthesis protein YbdZ	YP_588441.1	-1	f3f3f3	-1
NC_000913.3	1373459	1377340	+	apo-serine activating enzyme	NP_415118.1	1396	f3f3f3	-1
NC_000913.3	1377556	1378685	+	polysaccharide co-polymerase family protein FepE	NP_415119.1	872	f3f3f3	-1
NC_000913.3	1378686	1379497	-	ferric enterobactin ABC transporter ATP binding subunit	NP_415120.1	823	f3f3f3	-1
NC_000913.3	1379498	1380486	-	ferric enterobactin ABC transporter membrane subunit FepG	NP_415121.1	136	f3f3f3	-1
NC_000913.3	1380487	1381491	-	ferric enterobactin ABC transporter membrane subunit FebD	NP_415122.1	136	f3f3f3	-1
NC_000913.3	1381602	1382852	+	enterobactin exporter EntS	NP_415123.1	-1	f3f3f3	-1
NC_000913.3	1382856	1383812	-	ferric enterobactin ABC transporter periplasmic binding protein	NP_415124.1	1164	f3f3f3	-1
NC_000913.3	1384187	1385362	+	isochorismate synthase EntC	NP_415125.1	618	f3f3f3	-1
NC_000913.3	1385372	1386982	+	2,3-dihydroxybenzoate-AMP ligase	NP_415126.1	55	f3f3f3	-1
NC_000913.3	1386996	1387853	+	enterobactin synthase component B	NP_415127.1	807	f3f3f3	-1
NC_000913.3	1387853	1388599	+	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	NP_415128.1	-1	f3f3f3	-1
NC_000913.3	1388602	1389015	+	proofreading thioesterase in enterobactin biosynthesis	NP_415129.1	809	f3f3f3	-1
NC_000913.3	1389196	1391301	+	carbon starvation protein A	NP_415130.1	801	f3f3f3	-1
NC_000913.3	1391484	1391681	+	conserved protein YbdD	YP_588442.1	1050	f3f3f3	-1
NC_000913.3	1391691	1392779	-	hydroxycarboxylate dehydrogenase A	NP_415132.1	1109	f3f3f3	-1
NC_000913.3	1392888	1394048	+	methionine-oxo-acid transaminase, PLP-dependent	NP_415133.1	114	f3f3f3	-1
NC_000913.3	1394049	1394650	-	ParB-like nuclease domain-containing protein YbdM	NP_415134.1	-1	f3f3f3	-1
NC_000913.3	1394651	1395871	-	putative PAPS reductase/DUF3440 domain-containing protein YbdN	NP_415135.1	-1	f3f3f3	-1
NC_000913.3	1396018	1396920	-	putative LysR family DNA-binding transcriptional regulator YbdO	NP_415136.1	1	f3f3f3	-1
NC_000913.3	1397129	1397875	-	protein sulfenic acid reductase DsbG	NP_415137.2	1457	f3f3f3	-1
NC_000913.3	1398247	1398810	+	alkyl hydroperoxide reductase, AhpC component	NP_415138.1	504	f3f3f3	-1
NC_000913.3	1399055	1400620	+	alkyl hydroperoxide reductase, AhpF component	NP_415139.2	-1	f3f3f3	-1
NC_000913.3	1400741	1401169	-	universal stress protein G	NP_415140.1	890	f3f3f3	-1
NC_000913.3	1401390	1402628	+	putative Zn(2(+))-dependent alcohol dehydrogenase YbdR	NP_415141.1	11	f3f3f3	-1
NC_000913.3	1402632	1402721	-	protein YldA	YP_009518757.1|gnl|REF_b4734|CDS776	-1	f3f3f3	-1
NC_000913.3	1402859	1403269	-	nucleoside diphosphate kinase regulator	NP_415143.1	-1	f3f3f3	-1
NC_000913.3	1403499	1404305	-	RNase I	NP_415144.1	-1	f3f3f3	-1
NC_000913.3	1404419	1405882	-	citrate:succinate antiporter	NP_415145.1	878	f3f3f3	-1
NC_000913.3	1405933	1406785	-	triphosphoribosyl-dephospho-CoA synthase	NP_415146.1	-1	f3f3f3	-1
NC_000913.3	1406786	1407337	-	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	NP_415147.1	-1	f3f3f3	-1
NC_000913.3	1407341	1408873	-	citrate lyase alpha subunit	NP_415148.1	-1	f3f3f3	-1
NC_000913.3	1408884	1409788	-	citrate lyase beta subunit	NP_415149.4	-1	f3f3f3	-1
NC_000913.3	1409789	1410085	-	citrate lyase acyl carrier protein	NP_415150.1	-1	f3f3f3	-1
NC_000913.3	1410100	1411158	-	citrate lyase synthetase	NP_415151.4	-1	f3f3f3	-1
NC_000913.3	1411537	1413163	+	sensory histidine kinase DpiB	NP_415152.1	1176	f3f3f3	-1
NC_000913.3	1413164	1413844	+	DNA-binding transcriptional dual regulator DpiA	NP_415153.1	1046	f3f3f3	-1
NC_000913.3	1413885	1415270	-	anaerobic C4-dicarboxylate transporter DcuC	NP_415154.1	1447	f3f3f3	-1
NC_000913.3	1415859	1416419	+	Lipid IVA palmitoyltransferase	NP_415155.1	-1	f3f3f3	-1
NC_000913.3	1416594	1416803	+	transcription antiterminator and regulator of RNA stability	NP_415156.1	19	f3f3f3	-1
NC_000913.3	1416857	1417240	-	F(-) channel	NP_415157.1	-1	f3f3f3	-1
NC_000913.3	1417333	1418120	+	deamidated glutathione amidase, N-terminal fragment	gnl|b4581|CDS793	-1	f3f3f3	-1
NC_000913.3	1418249	1418452	+	twin arginine protein translocation system - TatE protein	NP_415160.1	128	f3f3f3	-1
NC_000913.3	1418553	1419518	-	lipoyl synthase	NP_415161.1	780	f3f3f3	-1
NC_000913.3	1419727	1420680	-	putative LysR-type DNA-binding transcriptional regulator YbeF	NP_415162.4	1	f3f3f3	-1
NC_000913.3	1420939	1421580	-	lipoyl(octanoyl) transferase	NP_415163.2	513	f3f3f3	-1
NC_000913.3	1421681	1421944	-	DUF493 domain-containing protein YbeD	NP_415164.1	-1	f3f3f3	-1
NC_000913.3	1422054	1423265	-	D-alanyl-D-alanine carboxypeptidase DacA	NP_415165.1	163	f3f3f3	-1
NC_000913.3	1423404	1424492	-	rare lipoprotein RlpA	NP_415166.1	1366	f3f3f3	-1
NC_000913.3	1424503	1425615	-	SEDS family protein MrdB	NP_415167.1	644	f3f3f3	-1
NC_000913.3	1425618	1427519	-	peptidoglycan DD-transpeptidase MrdA	NP_415168.1	651	f3f3f3	-1
NC_000913.3	1427550	1428017	-	23S rRNA m(3)psi1915 methyltransferase	NP_415169.1	1215	f3f3f3	-1
NC_000913.3	1428021	1428338	-	ribosomal silencing factor RsfS	NP_415170.4	293	f3f3f3	-1
NC_000913.3	1428598	1429209	-	putative adenosylcobalamin phosphatase/alpha-ribazole phosphatase	NP_415171.1	813	f3f3f3	-1
NC_000913.3	1429233	1429874	-	nicotinate-mononucleotide adenylyltransferase	NP_415172.1	742	f3f3f3	-1
NC_000913.3	1429876	1430907	-	DNA polymerase III subunit delta	NP_415173.1	-1	f3f3f3	-1
NC_000913.3	1430907	1431488	-	lipopolysaccharide assembly protein LptE	NP_415174.1	-1	f3f3f3	-1
NC_000913.3	1431503	1434085	-	leucine--tRNA ligase	NP_415175.1	339	f3f3f3	-1
NC_000913.3	1434320	1434802	+	DUF1451 domain-containing protein YbeL	NP_415176.1	-1	f3f3f3	-1
NC_000913.3	1434872	1435849	-	Sel1 repeat-containing protein YbeQ	NP_415177.4	1267	f3f3f3	-1
NC_000913.3	1436013	1436716	+	DUF1266 domain-containing protein YbeR	NP_415178.1	1058	f3f3f3	-1
NC_000913.3	1436717	1438144	+	putative chaperone	NP_415179.1	1350	f3f3f3	-1
NC_000913.3	1438154	1438708	-	Sel1 repeat-containing protein YbeT	NP_415180.1	1267	f3f3f3	-1
NC_000913.3	1438810	1439513	+	DUF1266 domain-containing protein YbeU	NP_415181.1	1058	f3f3f3	-1
NC_000913.3	1439514	1440965	+	co-chaperone DjlC	NP_415182.1	1350	f3f3f3	-1
NC_000913.3	1441025	1442695	-	chaperone protein HscC	NP_415183.1	-1	f3f3f3	-1
NC_000913.3	1442779	1443714	-	pyrimidine-specific ribonucleoside hydrolase RihA	NP_415184.1	820	f3f3f3	-1
NC_000913.3	1443832	1444557	-	glutamate/aspartate ABC transporter ATP binding subunit	NP_415185.1	-1	f3f3f3	-1
NC_000913.3	1444557	1445231	-	glutamate/aspartate ABC transporter membrane subunit GltK	NP_415186.1	1398	f3f3f3	-1
NC_000913.3	1445231	1445971	-	glutamate/aspartate ABC transporter membrane subunit GltJ	NP_415187.1	-1	f3f3f3	-1
NC_000913.3	1446141	1447049	-	glutamate/aspartate ABC transporter periplasmic binding protein	NP_415188.1	-1	f3f3f3	-1
NC_000913.3	1447299	1448315	-	IS5 transposase and trans-activator	NP_415189.1	20	f3f3f3	-1
NC_000913.3	1448645	1450183	-	apolipoprotein N-acyltransferase	NP_415190.1	904	f3f3f3	-1
NC_000913.3	1450208	1451086	-	CorC-HlyC family protein YbeX	NP_415191.1	26	f3f3f3	-1
NC_000913.3	1451176	1451639	-	endoribonuclease YbeY	NP_415192.1	361	f3f3f3	-1
NC_000913.3	1451640	1452680	-	PhoH-like protein	NP_415193.2	1256	f3f3f3	-1
NC_000913.3	1452833	1454257	-	isopentenyl-adenosine A37 tRNA methylthiolase	NP_415194.1	328	f3f3f3	-1
NC_000913.3	1454403	1455578	+	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	NP_415195.1	188	f3f3f3	-1
NC_000913.3	1456815	1458479	-	asparagine synthetase B	NP_415200.1	1466	f3f3f3	-1
NC_000913.3	1458876	1459628	-	UMP phosphatase	NP_415201.1	-1	f3f3f3	-1
NC_000913.3	1459676	1460896	-	DNA-binding transcriptional dual regulator NagC	NP_415202.1	81	f3f3f3	-1
NC_000913.3	1460905	1462053	-	N-acetylglucosamine-6-phosphate deacetylase	NP_415203.1	-1	f3f3f3	-1
NC_000913.3	1462113	1462913	-	glucosamine-6-phosphate deaminase	NP_415204.1	812	f3f3f3	-1
NC_000913.3	1463246	1465192	+	N-acetylglucosamine specific PTS enzyme IIABC component	NP_415205.1	30	f3f3f3	-1
NC_000913.3	1465395	1467059	+	glutamine--tRNA ligase	NP_415206.1	1404	f3f3f3	-1
NC_000913.3	1467636	1469042	+	chitobiose outer membrane channel	NP_415207.1	-1	f3f3f3	-1
NC_000913.3	1469092	1469418	+	lipoprotein ChiQ	NP_415208.1	-1	f3f3f3	-1
NC_000913.3	1469502	1469940	-	DNA-binding transcriptional dual regulator Fur	NP_415209.1	1159	f3f3f3	-1
NC_000913.3	1469941	1470027	-	RyhB-regulated fur leader peptide	YP_001491546.1	-1	f3f3f3	-1
NC_000913.3	1470237	1470767	-	flavodoxin 1	NP_415210.1	1390	f3f3f3	-1
NC_000913.3	1470907	1471200	-	LexA-regulated protein	NP_415211.2	-1	f3f3f3	-1
NC_000913.3	1471340	1472104	-	esterase	NP_415212.1	-1	f3f3f3	-1
NC_000913.3	1472289	1472834	+	SeqA, negative modulator of initiation of replication	NP_415213.1	-1	f3f3f3	-1
NC_000913.3	1472860	1474500	+	phosphoglucomutase	NP_415214.1	-1	f3f3f3	-1
NC_000913.3	1474714	1475208	+	lipoprotein YbfP	NP_415215.1	-1	f3f3f3	-1
NC_000913.3	1475249	1475899	-	PF10964 domain-containing protein YbfG	gnl|b0691|CDS869	-1	f3f3f3	-1
NC_000913.3	1476248	1477563	-	putrescine:H(+) symporter/putrescine:ornithine antiporter PotE	NP_415219.1	59	f3f3f3	-1
NC_000913.3	1477564	1479762	-	ornithine decarboxylase, degradative	NP_415220.1	413	f3f3f3	-1
NC_000913.3	1479885	1480142	+	uncharacterized protein YbfK	YP_001165310.1	-1	f3f3f3	-1
NC_000913.3	1480358	1481031	-	DNA-binding transcriptional activator KdpE	NP_415222.1	28	f3f3f3	-1
NC_000913.3	1481032	1483708	-	sensory histidine kinase KdpD	NP_415223.1	29	f3f3f3	-1
NC_000913.3	1483709	1484281	-	K(+) transporting P-type ATPase subunit KdpC	NP_415224.1	-1	f3f3f3	-1
NC_000913.3	1484290	1486338	-	K(+) transporting P-type ATPase subunit KdpB	NP_415225.1	-1	f3f3f3	-1
NC_000913.3	1486361	1488034	-	K(+) transporting P-type ATPase subunit KdpA	NP_415226.1	-1	f3f3f3	-1
NC_000913.3	1488034	1488123	-	K(+) transporting P-type ATPase subunit KdpF	YP_588443.1	-1	f3f3f3	-1
NC_000913.3	1488436	1488642	+	DUF2517 domain-containing protein YbfA	NP_415228.1	-1	f3f3f3	-1
NC_000913.3	1488885	1493078	+	rhs element protein RhsC	NP_415229.1	629	f3f3f3	-1
NC_000913.3	1493078	1493404	+	uncharacterized protein YbfB	NP_415230.1	-1	f3f3f3	-1
NC_000913.3	1493522	1494951	+	conserved protein, rhs-like YbfO	gnl|b0703|CDS883	-1	f3f3f3	-1
NC_000913.3	1494952	1495521	+	uncharacterized protein YbfC	NP_415232.1	-1	f3f3f3	-1
NC_000913.3	1495747	1496001	+	inactive transposase YbfQ	YP_009518758.1|gnl|REF_b4514|CDS885	-1	f3f3f3	-1
NC_000913.3	1496202	1497263	+	putative transposase YbfL	gnl|b0705|CDS886	-1	f3f3f3	-1
NC_000913.3	1497394	1498155	+	H repeat-associated putative transposase YbfD	NP_415234.1	622	f3f3f3	-1
NC_000913.3	1498303	1498808	+	DUF1722 domain-containing protein YbgA	NP_415235.1	-1	f3f3f3	-1
NC_000913.3	1498809	1500227	+	deoxyribodipyrimidine photolyase (photoreactivation)	NP_415236.1	-1	f3f3f3	-1
NC_000913.3	1500377	1501858	-	dipeptide:H(+) symporter DtpD	NP_415237.1	1148	f3f3f3	-1
NC_000913.3	1502129	1502872	+	radiation resistance protein YbgI	NP_415238.1	1339	f3f3f3	-1
NC_000913.3	1502895	1503544	+	5-oxoprolinase component B	NP_415239.1	-1	f3f3f3	-1
NC_000913.3	1503545	1504466	+	5-oxoprolinase component C	NP_415240.1	-1	f3f3f3	-1
NC_000913.3	1504467	1505201	+	5-oxoprolinase component A	NP_415241.1	-1	f3f3f3	-1
NC_000913.3	1505237	1506024	+	endonuclease VIII	NP_415242.1	-1	f3f3f3	-1
NC_000913.3	1506025	1507071	-	putative regulator	NP_415243.4	-1	f3f3f3	-1
NC_000913.3	1507223	1508280	-	putative fimbrial protein YbgO	NP_415244.4	1142	f3f3f3	-1
NC_000913.3	1508281	1509009	-	putative fimbrial chaperone YbgP	NP_415245.1	23	f3f3f3	-1
NC_000913.3	1509024	1511471	-	putative fimbrial usher protein YbgQ	NP_415246.2	43	f3f3f3	-1
NC_000913.3	1511531	1512097	-	putative fimbrial protein YbgD	NP_415247.1	12	f3f3f3	-1
NC_000913.3	1512487	1513770	-	citrate synthase	NP_415248.1	482	f3f3f3	-1
NC_000913.3	1513976	1514083	-	protein YbgU	YP_009518759.1|gnl|REF_b4735|CDS904	-1	f3f3f3	-1
NC_000913.3	1514479	1514861	+	succinate:quinone oxidoreductase, membrane protein SdhC	NP_415249.1	537	f3f3f3	-1
NC_000913.3	1514862	1515209	+	succinate:quinone oxidoreductase, membrane protein SdhD	NP_415250.1	-1	f3f3f3	-1
NC_000913.3	1515209	1516975	+	succinate:quinone oxidoreductase, FAD binding protein	NP_415251.1	73	f3f3f3	-1
NC_000913.3	1516991	1517707	+	succinate:quinone oxidoreductase, iron-sulfur cluster binding protein	NP_415252.1	520	f3f3f3	-1
NC_000913.3	1518008	1520809	+	subunit of E1(0) component of 2-oxoglutarate dehydrogenase	NP_415254.1	515	f3f3f3	-1
NC_000913.3	1520824	1522041	+	dihydrolipoyltranssuccinylase	NP_415255.1	550	f3f3f3	-1
NC_000913.3	1522316	1523482	+	succinyl-CoA synthetase subunit beta	NP_415256.1	448	f3f3f3	-1
NC_000913.3	1523482	1524351	+	succinyl-CoA synthetase subunit alpha	NP_415257.1	524	f3f3f3	-1
